***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: G
precoProduto: R$35
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: G
precoProduto: R$35
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: P
precoProduto: R$35
14 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: G
precoProduto: R$45
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: P
precoProduto: R$45
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: þ
precoProduto: R$45
***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: G
precoProduto: R$45
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: P
precoProduto: R$45
12 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: P
precoProduto: R$45
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: G
precoProduto: R$45
12 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: M
precoProduto: R$45
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: G
precoProduto: R$45
12 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: G
precoProduto: R$45
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: p
precoProduto: R$45
12 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: p
precoProduto: R$45
***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: M
precoProduto: R$45
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: G
precoProduto: R$45
12 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: M
precoProduto: R$45
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: P
precoProduto: R$45
12 unidades

***Cadastrando Moletons***
idProduto: 1232
tamanhoProduto: G
precoProduto: R$45
10 unidades

***Cadastrando Moletons***
idProduto: 1232
tamanhoProduto: P
precoProduto: R$45
12 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: G
precoProduto: R$40
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: P
precoProduto: R$40
10 unidades

***Cadastrando Moletons***
idProduto: 343
tamanhoProduto: G
precoProduto: R$10
10 unidades

***Cadastrando Moletons***
idProduto: 123
tamanhoProduto: G
precoProduto: R$23
10 unidades

